LV ActivePower (kW);Wind Speed (m/s);Theoretical_Power_Curve (KWh);Wind Direction (°);hour;minute
380.05;5.31;416.33;259.99;0;0
453.77;5.67;519.92;268.64;0;10
306.38;5.22;390.9;272.56;0;20
419.65;5.66;516.13;271.26;0;30
380.65;5.58;491.7;265.67;0;40
402.39;5.6;499.44;264.58;0;50
447.61;5.79;557.37;266.16;1;0
387.24;5.31;414.9;257.95;1;10
463.65;5.58;493.68;253.48;1;20
439.73;5.52;475.71;258.72;1;30
498.18;5.72;535.84;251.85;1;40
526.82;5.93;603.01;265.5;1;50
710.59;6.55;824.66;274.23;2;0
655.19;6.2;693.47;266.73;2;10
754.76;6.51;808.1;266.76;2;20
790.17;6.63;859.46;270.49;2;30
742.99;6.38;759.43;266.59;2;40
748.23;6.45;785.28;265.57;2;50
736.65;6.42;773.17;261.16;3;0
787.25;6.44;781.77;257.56;3;10
722.86;6.22;700.76;255.93;3;20
935.03;6.9;970.74;250.01;3;30
1220.61;7.61;1315.05;255.99;3;40
1053.77;7.29;1151.27;255.44;3;50
1493.81;7.94;1497.58;256.41;4;0
1724.49;8.38;1752.2;252.41;4;10
1636.94;8.24;1668.47;247.98;4;20
1385.49;7.88;1461.82;238.61;4;30
1098.93;7.1;1062.29;245.1;4;40
1021.46;6.96;996.0;245.41;4;50
1164.89;7.1;1060.86;235.23;5;0
1073.33;6.95;995.25;242.87;5;10
1165.31;7.25;1132.42;244.84;5;20
1177.99;7.29;1154.37;242.48;5;30
1170.54;7.38;1194.84;247.98;5;40
1145.54;7.45;1231.43;249.68;5;50
1114.03;7.24;1127.43;248.4;6;0
1153.19;7.33;1171.36;244.62;6;10
1125.33;7.14;1080.14;244.63;6;20
1228.73;7.47;1244.63;245.79;6;30
1021.79;7.03;1030.99;248.65;6;40
957.38;6.89;965.68;244.61;6;50
909.89;6.89;966.28;235.85;7;0
1000.95;7.22;1116.47;232.84;7;10
1024.48;7.07;1047.17;229.93;7;20
1009.53;6.94;988.45;230.14;7;30
899.49;6.54;820.42;234.93;7;40
725.11;6.18;686.64;232.84;7;50
585.26;5.82;564.93;240.33;8;0
443.91;5.45;454.77;238.13;8;10
565.25;5.82;565.35;235.8;8;20
644.04;6.13;668.82;224.96;8;30
712.06;6.35;747.46;216.8;8;40
737.39;6.35;747.6;205.79;8;50
725.87;6.19;691.55;199.85;9;0
409.0;4.98;330.42;208.0;9;10
628.44;5.96;611.28;210.95;9;20
716.1;6.21;697.65;215.69;9;30
711.5;6.11;662.24;220.84;9;40
838.15;6.46;789.01;237.07;9;50
881.06;6.67;872.74;235.67;10;0
663.7;6.16;680.33;229.33;10;10
578.26;6.01;628.44;234.9;10;20
465.62;5.56;486.78;230.42;10;30
311.05;4.96;326.41;229.54;10;40
230.06;4.6;244.32;231.8;10;50
233.99;4.55;233.63;234.11;11;0
175.59;4.26;173.57;228.78;11;10
118.13;3.89;108.57;227.94;11;20
142.2;4.04;130.23;224.46;11;30
212.57;4.51;223.2;224.95;11;40
222.61;4.54;231.24;229.13;11;50
194.18;4.32;185.6;227.04;12;0
82.64;3.63;68.5;230.31;12;10
75.9;3.71;78.4;233.95;12;20
41.95;3.25;29.29;233.07;12;30
118.53;3.78;88.87;227.75;12;40
250.76;4.69;264.12;229.9;12;50
346.86;5.0;336.72;235.28;13;0
416.42;5.36;430.92;235.59;13;10
331.94;5.02;339.98;229.94;13;20
583.48;5.97;615.06;235.7;13;30
776.55;6.66;868.18;241.46;13;40
752.73;6.6;846.03;242.78;13;50
589.07;5.98;618.73;234.98;14;0
1109.13;7.42;1219.2;235.15;14;10
1482.46;8.19;1638.51;238.48;14;20
1523.43;8.27;1691.15;237.03;14;30
1572.17;8.45;1796.76;238.33;14;40
1698.94;8.58;1875.05;235.64;14;50
1616.85;8.28;1695.54;236.46;15;0
1796.82;8.73;1974.48;234.35;15;10
1885.86;8.76;1993.17;231.0;15;20
2327.51;9.67;2568.83;227.6;15;30
2499.16;10.14;2876.75;227.73;15;40
2820.51;10.77;3186.03;225.28;15;50
2812.28;10.65;3133.26;224.68;16;0
2530.45;9.98;2781.27;225.52;16;10
2399.12;9.87;2711.49;227.27;16;20
2335.59;9.79;2651.34;229.26;16;30
2341.13;9.61;2527.95;230.74;16;40
2391.85;9.62;2531.15;229.49;16;50
2118.39;9.1;2207.79;223.96;17;0
1866.85;8.68;1938.48;219.79;17;10
1865.62;8.77;2000.01;219.04;17;20
1862.45;8.69;1946.37;215.34;17;30
1884.12;8.63;1909.42;216.28;17;40
1855.78;8.61;1899.1;214.53;17;50
1958.13;9.22;2285.92;212.18;18;0
2228.24;10.05;2822.51;210.31;18;10
2529.29;10.32;2974.87;210.59;18;20
2788.26;10.77;3183.72;207.48;18;30
2692.93;10.56;3093.11;208.55;18;40
2535.35;10.25;2938.39;208.01;18;50
2584.67;10.46;3048.82;205.75;19;0
2960.18;11.39;3393.65;200.65;19;10
3062.98;11.57;3437.6;198.12;19;20
3024.39;11.28;3362.67;198.54;19;30
3187.97;11.34;3378.83;200.49;19;40
3387.23;11.8;3488.25;199.25;19;50
3209.02;11.36;3386.24;199.81;20;0
3272.67;11.63;3452.88;198.27;20;10
3209.7;11.44;3407.87;195.63;20;20
3134.52;11.27;3360.23;196.66;20;30
2977.82;11.06;3292.88;196.52;20;40
3431.77;12.1;3537.17;198.26;20;50
3604.21;12.93;3597.47;201.58;21;0
3601.33;13.32;3600.0;201.94;21;10
3604.43;13.12;3600.0;203.51;21;20
3604.39;13.24;3600.0;202.69;21;30
3604.34;13.24;3600.0;202.94;21;40
3554.69;13.03;3600.0;201.25;21;50
3479.41;12.96;3597.79;201.34;22;0
3472.33;12.9;3597.13;200.98;22;10
