Date/Time;LV ActivePower (kW);Wind Speed (m/s);Theoretical_Power_Curve (KWh);Wind Direction (°)
01 01 2018 00:00;380.047790527343;5.31133604049682;416.328907824861;259.994903564453
01 01 2018 00:10;453.76919555664;5.67216682434082;519.917511061494;268.64111328125
01 01 2018 00:20;306.376586914062;5.21603679656982;390.900015810951;272.564788818359
01 01 2018 00:30;419.645904541015;5.65967416763305;516.127568975674;271.258087158203
01 01 2018 00:40;380.650695800781;5.57794094085693;491.702971953588;265.674285888671
01 01 2018 00:50;402.391998291015;5.60405206680297;499.436385024805;264.57861328125
01 01 2018 01:00;447.605712890625;5.79300785064697;557.372363290225;266.163604736328
01 01 2018 01:10;387.2421875;5.30604982376098;414.898178826186;257.949493408203
01 01 2018 01:20;463.651214599609;5.58462905883789;493.677652137077;253.480697631835
01 01 2018 01:30;439.725708007812;5.52322816848754;475.706782818068;258.72378540039
01 01 2018 01:40;498.181701660156;5.72411584854125;535.841397042263;251.850997924804
01 01 2018 01:50;526.816223144531;5.93419885635375;603.014076510633;265.504699707031
01 01 2018 02:00;710.587280273437;6.54741382598876;824.662513585882;274.23291015625
01 01 2018 02:10;655.194274902343;6.19974613189697;693.472641075637;266.733184814453
01 01 2018 02:20;754.762512207031;6.50538301467895;808.098138482693;266.76040649414
01 01 2018 02:30;790.173278808593;6.63411617279052;859.459020788565;270.493194580078
01 01 2018 02:40;742.985290527343;6.37891292572021;759.434536596592;266.593292236328
01 01 2018 02:50;748.229614257812;6.4466528892517;785.28100987646;265.571807861328
01 01 2018 03:00;736.647827148437;6.41508293151855;773.172863451736;261.15869140625
01 01 2018 03:10;787.246215820312;6.43753099441528;781.7712157188;257.56021118164
01 01 2018 03:20;722.864074707031;6.22002410888671;700.764699868076;255.926498413085
01 01 2018 03:30;935.033386230468;6.89802598953247;970.736626881787;250.012893676757
01 01 2018 03:40;1220.60900878906;7.60971117019653;1315.04892785216;255.985702514648
01 01 2018 03:50;1053.77197265625;7.28835582733154;1151.26574355584;255.444595336914
01 01 2018 04:00;1493.80798339843;7.94310188293457;1497.58372354361;256.407409667968
